 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in Fe-Cr-Ni

 Ion = Chromium [24] , Mass = 51.94 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    4.002E-01  5.688E+00       2 A         1 A         1 A   
10.9999 eV    4.198E-01  6.043E+00       2 A         1 A         1 A   
11.9999 eV    4.384E-01  6.385E+00       2 A         2 A         1 A   
12.9999 eV    4.564E-01  6.716E+00       2 A         2 A         1 A   
13.9999 eV    4.736E-01  7.036E+00       2 A         2 A         1 A   
14.9999 eV    4.902E-01  7.346E+00       2 A         2 A         1 A   
15.9999 eV    5.063E-01  7.648E+00       2 A         2 A         1 A   
16.9999 eV    5.219E-01  7.942E+00       2 A         2 A         1 A   
17.9999 eV    5.370E-01  8.229E+00       2 A         2 A         1 A   
19.9999 eV    5.660E-01  8.783E+00       2 A         2 A         1 A   
22.4999 eV    6.004E-01  9.441E+00       2 A         2 A         1 A   
24.9999 eV    6.328E-01  1.007E+01       3 A         2 A         2 A   
27.4999 eV    6.637E-01  1.067E+01       3 A         2 A         2 A   
29.9999 eV    6.932E-01  1.124E+01       3 A         2 A         2 A   
32.4999 eV    7.216E-01  1.180E+01       3 A         2 A         2 A   
34.9999 eV    7.488E-01  1.233E+01       3 A         2 A         2 A   
37.4999 eV    7.751E-01  1.285E+01       3 A         2 A         2 A   
39.9999 eV    8.005E-01  1.335E+01       3 A         2 A         2 A   
