 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 21, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Copper in Copper

 Ion = Copper [29] , Mass = 62.93 amu

 Target Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.048E-01  6.008E+00       2 A         1 A         1 A   
10.9999 eV    2.148E-01  6.389E+00       2 A         1 A         1 A   
11.9999 eV    2.243E-01  6.757E+00       2 A         2 A         1 A   
12.9999 eV    2.335E-01  7.113E+00       2 A         2 A         1 A   
13.9999 eV    2.423E-01  7.458E+00       2 A         2 A         1 A   
14.9999 eV    2.508E-01  7.793E+00       2 A         2 A         1 A   
15.9999 eV    2.590E-01  8.119E+00       2 A         2 A         1 A   
16.9999 eV    2.670E-01  8.436E+00       2 A         2 A         1 A   
17.9999 eV    2.747E-01  8.746E+00       2 A         2 A         1 A   
19.9999 eV    2.896E-01  9.346E+00       2 A         2 A         1 A   
22.4999 eV    3.072E-01  1.006E+01       2 A         2 A         1 A   
24.9999 eV    3.238E-01  1.074E+01       3 A         2 A         2 A   
27.4999 eV    3.396E-01  1.140E+01       3 A         2 A         2 A   
29.9999 eV    3.547E-01  1.202E+01       3 A         2 A         2 A   
32.4999 eV    3.692E-01  1.263E+01       3 A         2 A         2 A   
34.9999 eV    3.831E-01  1.321E+01       3 A         2 A         2 A   
37.4999 eV    3.966E-01  1.378E+01       3 A         2 A         2 A   
39.9999 eV    4.096E-01  1.433E+01       3 A         2 A         2 A   
44.9999 eV    4.344E-01  1.539E+01       3 A         3 A         2 A   
49.9999 eV    4.579E-01  1.639E+01       3 A         3 A         2 A   
