 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Fe in Fe-Cr-Ni

 Ion = Iron [26] , Mass = 55.935 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    3.419E-01  5.850E+00       2 A         1 A         1 A   
10.9999 eV    3.586E-01  6.217E+00       2 A         1 A         1 A   
11.9999 eV    3.745E-01  6.571E+00       2 A         2 A         1 A   
12.9999 eV    3.898E-01  6.914E+00       2 A         2 A         1 A   
13.9999 eV    4.045E-01  7.245E+00       2 A         2 A         1 A   
14.9999 eV    4.187E-01  7.567E+00       2 A         2 A         1 A   
15.9999 eV    4.324E-01  7.880E+00       2 A         2 A         1 A   
16.9999 eV    4.457E-01  8.185E+00       2 A         2 A         1 A   
17.9999 eV    4.587E-01  8.482E+00       2 A         2 A         1 A   
19.9999 eV    4.835E-01  9.056E+00       2 A         2 A         1 A   
22.4999 eV    5.128E-01  9.740E+00       3 A         2 A         1 A   
24.9999 eV    5.405E-01  1.039E+01       3 A         2 A         2 A   
27.4999 eV    5.669E-01  1.102E+01       3 A         2 A         2 A   
29.9999 eV    5.921E-01  1.161E+01       3 A         2 A         2 A   
32.4999 eV    6.163E-01  1.219E+01       3 A         2 A         2 A   
34.9999 eV    6.396E-01  1.275E+01       3 A         2 A         2 A   
37.4999 eV    6.620E-01  1.329E+01       3 A         2 A         2 A   
39.9999 eV    6.837E-01  1.381E+01       3 A         2 A         2 A   
