 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> February 27, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in Fe-Cr-Ni

 Ion = Nickel [28] , Mass = 57.94 amu

 Target Density =  7.8348E+00 g/cm3 = 8.5203E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Fe     26    071.40    072.01   
     Cr     24    019.20    018.03   
     Ni     28    009.40    009.96   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.024E-01  5.959E+00       2 A         1 A         1 A   
10.9999 eV    2.123E-01  6.334E+00       2 A         1 A         1 A   
11.9999 eV    2.217E-01  6.697E+00       2 A         2 A         1 A   
12.9999 eV    2.308E-01  7.047E+00       2 A         2 A         1 A   
13.9999 eV    2.395E-01  7.387E+00       2 A         2 A         1 A   
14.9999 eV    2.479E-01  7.716E+00       2 A         2 A         1 A   
15.9999 eV    2.560E-01  8.037E+00       2 A         2 A         1 A   
16.9999 eV    2.639E-01  8.349E+00       2 A         2 A         1 A   
17.9999 eV    2.716E-01  8.654E+00       2 A         2 A         1 A   
19.9999 eV    2.863E-01  9.243E+00       2 A         2 A         1 A   
22.4999 eV    3.036E-01  9.945E+00       3 A         2 A         2 A   
24.9999 eV    3.201E-01  1.061E+01       3 A         2 A         2 A   
27.4999 eV    3.357E-01  1.125E+01       3 A         2 A         2 A   
29.9999 eV    3.506E-01  1.187E+01       3 A         2 A         2 A   
32.4999 eV    3.649E-01  1.246E+01       3 A         2 A         2 A   
34.9999 eV    3.787E-01  1.304E+01       3 A         2 A         2 A   
37.4999 eV    3.920E-01  1.359E+01       3 A         2 A         2 A   
39.9999 eV    4.048E-01  1.413E+01       3 A         2 A         2 A   
