# Electronic stopping power in target NiFeCr for LAMMPS fix electron/stopping
#                             Ni                 Fe                 Cr
#         eV               eV/Ang             eV/Ang             eV/Ang
        9.99999000         0.20240000         0.34190000         0.40020000 
       10.99990000         0.21230000         0.35860000         0.41980000 
       11.99990000         0.22170000         0.37450000         0.43840000 
       12.99990000         0.23080000         0.38980000         0.45640000 
       13.99990000         0.23950000         0.40450000         0.47360000 
       14.99990000         0.24790000         0.41870000         0.49020000 
       15.99990000         0.25600000         0.43240000         0.50630000 
       16.99990000         0.26390000         0.44570000         0.52190000 
       17.99990000         0.27160000         0.45870000         0.53700000 
       19.99990000         0.28630000         0.48350000         0.56600000 
       22.49990000         0.30360000         0.51280000         0.60040000 
       24.99990000         0.32010000         0.54050000         0.63280000 
       27.49990000         0.33570000         0.56690000         0.66370000 
       29.99990000         0.35060000         0.59210000         0.69320000 
       32.49990000         0.36490000         0.61630000         0.72160000 
       34.99990000         0.37870000         0.63960000         0.74880000 
       37.49990000         0.39200000         0.66200000         0.77510000 
       39.99990000         0.40480000         0.68370000         0.80050000 
       44.99990000         0.42940000         0.72520000         0.84910000 
       49.99990000         0.45260000         0.76440000         0.89500000 
       54.99990000         0.47470000         0.80180000         0.93870000 
       59.99990000         0.49580000         0.83740000         0.98040000 
       64.99990000         0.51610000         0.87160000         1.02000000 
       69.99990000         0.53560000         0.90450000         1.05900000 
       79.99990000         0.57250000         0.96700000         1.13200000 
       89.99990000         0.60730000         1.02600000         1.20100000 
       99.99990000         0.64010000         1.08100000         1.26600000 
      110.00000000         0.67140000         1.13400000         1.32700000 
      120.00000000         0.70120000         1.18400000         1.38600000 
      130.00000000         0.72980000         1.23300000         1.44300000 
      139.99900000         0.75740000         1.27900000         1.49800000 
      149.99900000         0.78400000         1.32400000         1.55000000 
      159.99900000         0.80970000         1.36700000         1.60100000 
      169.99900000         0.83460000         1.41000000         1.65000000 
      179.99900000         0.85880000         1.45000000         1.69800000 
      199.99900000         0.90530000         1.52900000         1.79000000 
      224.99900000         0.96020000         1.62200000         1.89900000 
      249.99900000         1.01200000         1.70900000         2.00100000 
      274.99900000         1.06200000         1.79300000         2.09900000 
      299.99900000         1.10900000         1.87200000         2.19200000 
      324.99900000         1.15400000         1.94900000         2.28200000 
      349.99900000         1.19800000         2.02300000         2.36800000 
      374.99900000         1.24000000         2.09400000         2.45100000 
      399.99900000         1.28000000         2.16200000         2.53100000 
      449.99900000         1.35800000         2.29300000         2.68500000 
      499.99900000         1.43100000         2.41700000         2.83000000 
      549.99900000         1.50100000         2.53500000         2.96800000 
      599.99900000         1.56800000         2.64800000         3.10000000 
      649.99900000         1.63200000         2.75600000         3.22700000 
      699.99900000         1.69400000         2.86000000         3.34900000 
      799.99900000         1.81100000         3.05800000         3.58000000 
      899.99900000         1.92000000         3.24300000         3.79700000 
