 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Tungsten in Tungsten

 Ion = Tungsten [74] , Mass = 183.951 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    6.854E-01  5.815E+00       2 A         1 A         1 A   
10.9999 eV    7.189E-01  6.213E+00       2 A         1 A         1 A   
11.9999 eV    7.508E-01  6.599E+00       2 A         2 A         1 A   
12.9999 eV    7.815E-01  6.974E+00       2 A         2 A         1 A   
13.9999 eV    8.110E-01  7.339E+00       2 A         2 A         1 A   
14.9999 eV    8.394E-01  7.696E+00       2 A         2 A         1 A   
15.9999 eV    8.670E-01  8.044E+00       2 A         2 A         1 A   
16.9999 eV    8.937E-01  8.385E+00       2 A         2 A         1 A   
17.9999 eV    9.196E-01  8.719E+00       2 A         2 A         1 A   
19.9999 eV    9.693E-01  9.369E+00       2 A         2 A         1 A   
22.4999 eV    1.028E+00  1.015E+01       2 A         2 A         2 A   
24.9999 eV    1.084E+00  1.090E+01       3 A         2 A         2 A   
27.4999 eV    1.137E+00  1.162E+01       3 A         2 A         2 A   
29.9999 eV    1.187E+00  1.232E+01       3 A         2 A         2 A   
32.4999 eV    1.236E+00  1.300E+01       3 A         2 A         2 A   
34.9999 eV    1.282E+00  1.367E+01       3 A         2 A         2 A   
37.4999 eV    1.327E+00  1.431E+01       3 A         2 A         2 A   
39.9999 eV    1.371E+00  1.494E+01       3 A         2 A         2 A   
44.9999 eV    1.454E+00  1.615E+01       3 A         2 A         2 A   
