 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> March 24, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Zirconium

 Ion = Zirconium [40] , Mass = 89.9 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.831E-01  3.358E+00       3 A         3 A         2 A   
10.9999 eV    1.921E-01  3.577E+00       3 A         3 A         2 A   
11.9999 eV    2.006E-01  3.789E+00       4 A         3 A         2 A   
12.9999 eV    2.088E-01  3.995E+00       4 A         3 A         2 A   
13.9999 eV    2.167E-01  4.194E+00       4 A         3 A         2 A   
14.9999 eV    2.243E-01  4.388E+00       4 A         3 A         2 A   
15.9999 eV    2.317E-01  4.578E+00       4 A         3 A         2 A   
16.9999 eV    2.388E-01  4.762E+00       4 A         3 A         2 A   
17.9999 eV    2.457E-01  4.943E+00       4 A         3 A         2 A   
19.9999 eV    2.590E-01  5.293E+00       4 A         3 A         3 A   
22.4999 eV    2.747E-01  5.711E+00       4 A         3 A         3 A   
24.9999 eV    2.896E-01  6.112E+00       4 A         4 A         3 A   
27.4999 eV    3.037E-01  6.496E+00       5 A         4 A         3 A   
29.9999 eV    3.172E-01  6.867E+00       5 A         4 A         3 A   
32.4999 eV    3.302E-01  7.225E+00       5 A         4 A         3 A   
34.9999 eV    3.426E-01  7.572E+00       5 A         4 A         3 A   
37.4999 eV    3.546E-01  7.909E+00       5 A         4 A         3 A   
39.9999 eV    3.663E-01  8.237E+00       5 A         4 A         3 A   
44.9999 eV    3.885E-01  8.867E+00       6 A         5 A         3 A   
